Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,Combined_ARIA_Mileage,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,carname
Tata,Nano Genx,Xt,292667,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.19,23.6,660 kg,4.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,Only Front Windows,No,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230.0,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.0,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,No,No,No,No,No,No,No,No,No,No,1750.0,No,No,No,No,No,0.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tata-Nano Genx
Tata,Nano Genx,Xe,236447,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.19,23.6,725 kg,4.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,No,No,No,No,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230.0,4 B X 12,No,Yes,Not on offer,No,Yes,2 years /75000 Kms (years/distance whichever comes first),No,Internal,110.0,No,No,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4.0,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,No,No,No,No,No,No,Normal,No,No,No,No,No,No,No,No,No,No,1750.0,No,No,No,No,No,0.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tata-Nano Genx
Tata,Nano Genx,Emax Xm,296661,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15.0,CNG,1652.0,3164.0,1750.0,Hatchback,4.0,15.1,17.19,36.0,710 kg,4.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,No,No,No,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230.0,4 B X 12,No,Yes,Not on offer,No,Yes,2 years /75000 Kms (years/distance whichever comes first),No,Internal,110.0,No,No,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4.0,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,No,No,No,No,Normal,No,No,No,No,No,No,No,No,No,No,1750.0,No,No,No,No,No,0.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tata-Nano Genx
Tata,Nano Genx,Xta,334768,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.19,21.9,725 kg,5.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,Only Front Windows,No,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230.0,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,94.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.0,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,No,Normal,No,No,No,No,No,No,No,No,No,No,1750.0,No,No,No,No,No,0.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tata-Nano Genx
Tata,Nano Genx,Xm,272223,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.19,23.6,725 kg,4.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,No,No,No,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230.0,4 B X 12,No,Yes,Not on offer,No,Yes,2 years /75000 Kms (years/distance whichever comes first),No,Internal,110.0,No,No,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4.0,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,No,No,No,No,No,No,Normal,No,No,No,No,No,No,No,No,No,No,1750.0,No,No,No,No,No,0.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tata-Nano Genx
Tata,Nano Genx,Xma,314815,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.19,21.9,710 kg,5.0,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325.0,1315.0,135/70R12,155/65R12,Electric Power,No,No,No,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230.0,4 B X 12,No,Yes,Not on offer,No,Yes,2 years /75000 Kms (years/distance whichever comes first),No,Internal,94.0,No,No,Yes,Digital,Not on offer,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4.0,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,No,No,Yes,No,No,No,Normal,No,No,No,No,No,No,No,No,No,No,1750.0,No,Yes,No,No,No,0.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tata-Nano Genx
Datsun,Redi-Go,D,279650,799.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1520.0,1525.0,80/155R13,80/155R13,No,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348.0,80/155R13,No,Yes,Not on offer,No,Yes,2 years / Unlimited Kms,No,Internal,222.0,No,No,Yes,Digital,Not on offer,Yes,No,Yes,2 Years/Unlimited Kms (Whichever comes earlier),No,Internal,Digital,Manual,Analog + Digital,Yes,4.7,Yes,Driver & Front Passenger,Not Applicable,Yes,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,Yes,No,No,1750.0,No,No,No,No,No,0.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Datsun-Redi-Go
Datsun,Redi-Go,T,351832,799.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1520.0,1525.0,80/155R13,80/155R13,Electric Power,Only Front Windows,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348.0,80/155R13,No,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,No,Internal,222.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,Yes,No,1750.0,No,No,No,No,No,0.0,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Datsun-Redi-Go
Datsun,Redi-Go,A,333419,799.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1520.0,1525.0,80/155R13,80/155R13,Electric Power,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348.0,80/155R13,No,Yes,Not on offer,No,Yes,2 years / Unlimited Kms,No,Internal,222.0,No,No,Yes,Digital,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),No,Internal,Digital,Manual,Analog + Digital,Yes,4.7,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,Yes,No,1750.0,No,No,No,No,No,0.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Datsun-Redi-Go
Datsun,Redi-Go,S,362000,799.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,,5.0,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1520.0,1525.0,80/155R13,80/155R13,Electric Power,No,No,No,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348.0,80/155R13,No,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,No,"With Remote, Internal",222.0,Yes,No,Yes,Digital,Not on offer,Yes,No,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,No,No,1750.0,No,No,No,No,No,0.0,,No,Rear sensors,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Datsun-Redi-Go
